股票代碼,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,日期
2888,新光金          ,"85,692,099","37,664,000","48,028,099",0,0,0,0,"70,000","-70,000","1,337,000","1,051,000","700,000","351,000","1,210,000","224,000","986,000","49,295,099",20241001
2324,仁寶            ,"20,850,000","11,157,000","9,693,000",0,0,0,"909,313","2,710","906,603","1,086,831","57,000","174,000","-117,000","1,347,730","143,899","1,203,831","11,686,434",20241001
2609,陽明            ,"17,361,580","9,923,400","7,438,180",0,0,0,"647,000","18,000","629,000","1,081,456","1,754,000","918,000","836,000","630,365","384,909","245,456","9,148,636",20241001
2610,華航            ,"10,611,000","2,761,000","7,850,000",0,0,0,"19,000","448,120","-429,120","-502,583","53,000","433,000","-380,000","73,260","195,843","-122,583","6,918,297",20241001
2884,玉山金          ,"5,796,618","8,967,000","-3,170,382",0,0,0,"9,656,000","90,140","9,565,860","-206,198","5,000","122,997","-117,997","174,864","263,065","-88,201","6,189,280",20241001
2637,慧洋-KY         ,"6,562,000","2,804,500","3,757,500",0,0,0,"2,162,000","14,000","2,148,000","86,797","77,610","38,000","39,610","166,187","119,000","47,187","5,992,297",20241001
2603,長榮            ,"8,002,622","3,204,200","4,798,422",0,0,0,"806,000","914,000","-108,000","384,818","456,000","279,000","177,000","406,317","198,499","207,818","5,075,240",20241001
2353,宏碁            ,"20,068,225","16,877,000","3,191,225",0,0,0,"1,153,000","178,810","974,190","844,909","213,000","249,015","-36,015","975,247","94,323","880,924","5,010,324",20241001
2891,中信金          ,"13,055,030","13,445,636","-390,606",0,0,0,"4,410,000","108,844","4,301,156","646,000",0,"235,000","-235,000","1,576,000","695,000","881,000","4,556,550",20241001
2618,長榮航          ,"6,306,000","10,734,000","-4,428,000",0,0,0,"9,137,000","292,833","8,844,167","-1,194,866","251,000","556,000","-305,000","321,000","1,210,866","-889,866","3,221,301",20241001
2356,英業達          ,"6,931,150","5,010,000","1,921,150",0,0,0,"508,000","45,000","463,000","773,683","98,000","209,967","-111,967","1,035,650","150,000","885,650","3,157,833",20241001
2301,光寶科          ,"3,135,700","1,936,000","1,199,700",0,0,0,"1,096,000","29,320","1,066,680","397,692","83,000","76,000","7,000","496,692","106,000","390,692","2,664,072",20241001
2606,裕民            ,"2,343,404","2,104,000","239,404",0,0,0,"2,036,359","50,000","1,986,359","-255,919","108,081","251,000","-142,919","124,000","237,000","-113,000","1,969,844",20241001
2330,台積電          ,"15,055,543","13,570,031","1,485,512",0,0,0,"136,000","142,996","-6,996","-12,226","155,080","411,578","-256,498","483,101","238,829","244,272","1,466,290",20241001
2882,國泰金          ,"11,883,000","12,304,001","-421,001",0,0,0,"1,096,000","54,310","1,041,690","97,000","226,000","103,000","123,000","227,000","253,000","-26,000","717,689",20241001
2349,錸德            ,"1,951,000","1,377,000","574,000",0,0,0,0,0,0,"-1,000",0,"1,000","-1,000",0,0,0,"573,000",20241001
3231,緯創            ,"2,719,300","2,783,005","-63,705",0,0,0,"273,000","3,310","269,690","362,268","16,268","13,000","3,268","424,000","65,000","359,000","568,253",20241001
2374,佳能            ,"1,267,000","835,000","432,000",0,0,0,0,"2,000","-2,000","-53,656","8,315","66,671","-58,356","4,700",0,"4,700","376,344",20241001
2426,鼎元            ,"1,253,000","871,000","382,000",0,0,0,0,0,0,"-28,358","3,058","31,416","-28,358",0,0,0,"353,642",20241001
5608,四維航          ,"759,000","438,000","321,000",0,0,0,0,0,0,"-8,000",0,"8,000","-8,000",0,0,0,"313,000",20241001
2393,億光            ,"704,000","745,000","-41,000",0,0,0,"264,517","9,000","255,517","-40,990","67,000","85,000","-18,000","25,000","47,990","-22,990","173,527",20241001
2323,中環            ,"1,087,000","969,000","118,000",0,0,0,0,0,0,"3,000","21,000","10,000","11,000",0,"8,000","-8,000","121,000",20241001
2438,翔耀            ,"90,000","60,000","30,000",0,0,0,0,0,0,"-1,000","1,000","2,000","-1,000",0,0,0,"29,000",20241001
2466,冠西電          ,"5,000","2,000","3,000",0,0,0,0,0,0,"-1,000",0,"1,000","-1,000",0,0,0,"2,000",20241001
4967,十銓            ,"244,000","249,000","-5,000",0,0,0,0,0,0,"-8,000",0,"12,000","-12,000","5,000","1,000","4,000","-13,000",20241001
2429,銘旺科          ,"5,000","46,000","-41,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-41,000",20241001
3706,神達            ,"819,000","944,000","-125,000",0,0,0,0,"1,000","-1,000","-131,654","37,000","168,214","-131,214","10,000","10,440",-440,"-257,654",20241001
2634,漢翔            ,"537,000","313,000","224,000",0,0,0,0,"573,000","-573,000","-13,000","62,000","52,000","10,000","6,000","29,000","-23,000","-362,000",20241001
3711,日月光投控      ,"5,840,000","3,543,977","2,296,023",0,0,0,"1,092,244","4,044,800","-2,952,556","284,293","163,000","164,000","-1,000","424,856","139,563","285,293","-372,240",20241001
2885,元大金          ,"7,478,000","10,317,389","-2,839,389",0,0,0,"1,047,568","88,000","959,568","1,479,029","10,000","18,755","-8,755","1,553,000","65,216","1,487,784","-400,792",20241001
2365,昆盈            ,"836,020","1,360,000","-523,980",0,0,0,0,0,0,"3,962","2,000",38,"1,962","2,000",0,"2,000","-520,018",20241001
2382,廣達            ,"5,954,552","6,343,578","-389,026",0,0,0,"266,000","89,495","176,505","-340,566","257,317","693,883","-436,566","209,000","113,000","96,000","-553,087",20241001
2303,聯電            ,"8,640,026","16,453,527","-7,813,501",0,0,0,"8,220,854","1,954,520","6,266,334","779,103","395,000","495,000","-100,000","2,163,802","1,284,699","879,103","-768,064",20241001
3017,奇鋐            ,"1,505,770","2,237,410","-731,640",0,0,0,"169,000","628,000","-459,000","-98,682","198,000","249,371","-51,371","78,166","125,477","-47,311","-1,289,322",20241001
2409,友達            ,"6,603,000","6,657,495","-54,495",0,0,0,0,"22,410","-22,410","-1,278,769",0,"877,000","-877,000","30,231","432,000","-401,769","-1,355,674",20241001
3013,晟銘電          ,"4,390,425","5,678,030","-1,287,605",0,0,0,0,"40,000","-40,000","-36,230","60,567","90,089","-29,522","56,266","62,974","-6,708","-1,363,835",20241001
3450,聯鈞            ,"3,995,000","5,759,000","-1,764,000",0,0,0,"18,000",0,"18,000","50,369","180,000","139,076","40,924","19,000","9,555","9,445","-1,695,631",20241001
2406,國碩            ,"1,903,000","3,844,000","-1,941,000",0,0,0,0,0,0,259,"9,880","7,918","1,962",0,"1,703","-1,703","-1,940,741",20241001
2605,新興            ,"3,941,000","6,141,000","-2,200,000",0,0,0,0,0,0,"213,513","100,000","210,390","-110,390","439,990","116,087","323,903","-1,986,487",20241001
2890,永豐金          ,"5,267,800","10,342,283","-5,074,483",0,0,0,"1,074,000","100,920","973,080","1,757,686","60,000","181,093","-121,093","1,945,000","66,221","1,878,779","-2,343,717",20241001
2880,華南金          ,"2,641,000","4,567,000","-1,926,000",0,0,0,"12,000","421,000","-409,000","-615,899","36,000","645,899","-609,899","264,000","270,000","-6,000","-2,950,899",20241001
2408,南亞科          ,"2,297,498","6,023,000","-3,725,502",0,0,0,0,"44,180","-44,180","-142,363","56,000","52,000","4,000","16,000","162,363","-146,363","-3,912,045",20241001
2449,京元電子        ,"3,568,014","5,224,000","-1,655,986",0,0,0,"594,000","2,449,000","-1,855,000","-473,877","198,000","800,816","-602,816","374,000","245,061","128,939","-3,984,863",20241001
2615,萬海            ,"11,515,402","17,338,000","-5,822,598",0,0,0,"1,200,000","18,000","1,182,000","282,641","622,000","408,173","213,827","205,838","137,024","68,814","-4,357,957",20241001
2363,矽統            ,"2,012,060","6,191,500","-4,179,440",0,0,0,0,0,0,"-394,644","25,101","24,499",602,"65,284","460,530","-395,246","-4,574,084",20241001
2867,三商壽          ,"800,000","5,266,000","-4,466,000",0,0,0,0,"100,000","-100,000","-392,990","54,000","157,990","-103,990",0,"289,000","-289,000","-4,958,990",20241001
2344,華邦電          ,"5,229,846","10,103,429","-4,873,583",0,0,0,"4,000","80,330","-76,330","-619,742","8,000","488,239","-480,239","40,000","179,503","-139,503","-5,569,655",20241001
2834,臺企銀          ,"1,294,000","6,727,000","-5,433,000",0,0,0,0,"33,000","-33,000","-338,666","37,000","283,666","-246,666",0,"92,000","-92,000","-5,804,666",20241001
2883,開發金          ,"9,862,000","17,430,000","-7,568,000",0,0,0,"860,000","80,770","779,230","-168,000","35,000","410,000","-375,000","849,000","642,000","207,000","-6,956,770",20241001
6770,力積電          ,"2,435,000","10,294,000","-7,859,000",0,0,0,0,"52,000","-52,000","-418,795",0,"215,307","-215,307",0,"203,488","-203,488","-8,329,795",20241001
2888,新光金          ,"71,387,280","31,982,876","39,404,404",0,0,0,0,0,0,"2,983,000","156,000","539,000","-383,000","3,437,000","71,000","3,366,000","42,387,404",20240930
2883,開發金          ,"33,971,225","16,003,583","17,967,642",0,0,0,"256,000","34,535","221,465","141,000","127,000","107,000","20,000","710,000","589,000","121,000","18,330,107",20240930
2618,長榮航          ,"22,612,413","14,254,697","8,357,716",0,0,0,"3,361,000","2,535,449","825,551","-276,110","115,000","364,000","-249,000","1,508,500","1,535,610","-27,110","8,907,157",20240930
2890,永豐金          ,"17,930,751","12,936,328","4,994,423",0,0,0,"592,000","160,247","431,753","869,650","117,000","71,850","45,150","841,000","16,500","824,500","6,295,826",20240930
2834,臺企銀          ,"10,012,781","5,392,954","4,619,827",0,0,0,"1,000","58,643","-57,643","24,000","106,000","37,000","69,000",0,"45,000","-45,000","4,586,184",20240930
2409,友達            ,"15,863,747","11,147,465","4,716,282",0,0,0,0,"38,811","-38,811","-95,650","68,000","356,000","-288,000","378,350","186,000","192,350","4,581,821",20240930
2882,國泰金          ,"21,856,290","17,551,617","4,304,673",0,0,0,"581,000","103,554","477,446","-543,000","146,000","334,000","-188,000","83,000","438,000","-355,000","4,239,119",20240930
2884,玉山金          ,"14,954,674","9,906,736","5,047,938",0,0,0,"41,000","3,735,922","-3,694,922","376,000","255,000","55,000","200,000","184,000","8,000","176,000","1,729,016",20240930
2606,裕民            ,"6,407,000","6,075,031","331,969",0,0,0,"1,302,181","149,000","1,153,181","79,155","948,000","687,000","261,000","189,155","371,000","-181,845","1,564,305",20240930
2885,元大金          ,"12,584,413","12,340,218","244,195",0,0,0,"433,287","132,179","301,108","574,300",80,"17,780","-17,700","618,000","26,000","592,000","1,119,603",20240930
2365,昆盈            ,"1,887,271","767,000","1,120,271",0,0,0,0,0,0,"-5,000",0,"5,000","-5,000",0,0,0,"1,115,271",20240930
2324,仁寶            ,"10,887,833","11,583,821","-695,988",0,0,0,"798,158","5,415","792,743","585,999","186,000","34,001","151,999","495,000","61,000","434,000","682,754",20240930
2880,華南金          ,"9,174,529","8,208,683","965,846",0,0,0,"28,000","152,787","-124,787","-229,000","116,000","41,000","75,000",0,"304,000","-304,000","612,059",20240930
3013,晟銘電          ,"7,529,016","6,828,568","700,448",0,0,0,0,0,0,"-105,713","30,501","36,098","-5,597","29,000","129,116","-100,116","594,735",20240930
2349,錸德            ,"2,273,000","1,755,000","518,000",0,0,0,0,0,0,"-14,000",0,"14,000","-14,000",0,0,0,"504,000",20240930
2301,光寶科          ,"3,550,815","3,512,725","38,090",0,0,0,"117,000","16,633","100,367","230,562","45,000","18,000","27,000","234,184","30,622","203,562","369,019",20240930
2637,慧洋-KY         ,"5,189,000","6,983,006","-1,794,006",0,0,0,"2,110,000","125,000","1,985,000","-112,648","227,025","28,000","199,025","65,667","377,340","-311,673","78,346",20240930
2438,翔耀            ,"77,000","24,000","53,000",0,0,0,0,0,0,"1,000","3,000","2,000","1,000",0,0,0,"54,000",20240930
4967,十銓            ,"233,000","201,000","32,000",0,0,0,0,0,0,"-22,220",0,"10,000","-10,000",0,"12,220","-12,220","9,780",20240930
2323,中環            ,"2,294,041","2,028,000","266,041",0,0,0,0,0,0,"-259,389","9,000","108,000","-99,000",0,"160,389","-160,389","6,652",20240930
2466,冠西電          ,"8,000",0,"8,000",0,0,0,0,0,0,"-3,000",0,"3,000","-3,000",0,0,0,"5,000",20240930
3450,聯鈞            ,"3,561,010","3,587,143","-26,133",0,0,0,"7,000","86,000","-79,000","-52,131","157,001","209,540","-52,539","19,532","19,124",408,"-157,264",20240930
2429,銘旺科          ,"42,000","171,000","-129,000",0,0,0,0,0,0,"-41,000",0,"41,000","-41,000",0,0,0,"-170,000",20240930
5608,四維航          ,"1,926,713","2,182,106","-255,393",0,0,0,0,0,0,"3,000","5,000",0,"5,000",0,"2,000","-2,000","-252,393",20240930
2374,佳能            ,"301,000","593,000","-292,000",0,0,0,0,0,0,"-56,845","3,000","1,603","1,397",44,"58,286","-58,242","-348,845",20240930
2406,國碩            ,"534,000","937,935","-403,935",0,0,0,0,0,0,"2,425","6,000","3,509","2,491",0,66,-66,"-401,510",20240930
2426,鼎元            ,"220,000","642,000","-422,000",0,0,0,0,0,0,"-34,982","8,000","42,982","-34,982",0,0,0,"-456,982",20240930
2867,三商壽          ,"2,356,000","3,013,584","-657,584",0,0,0,0,0,0,"143,000","75,000","12,000","63,000","80,000",0,"80,000","-514,584",20240930
2393,億光            ,"731,850","1,241,221","-509,371",0,0,0,"5,551","47,000","-41,449","-52,468","20,000","67,931","-47,931","24,000","28,537","-4,537","-603,288",20240930
2891,中信金          ,"34,924,090","41,537,910","-6,613,820",0,0,0,"5,229,000","182,715","5,046,285","754,000","495,000","124,000","371,000","1,050,000","667,000","383,000","-813,535",20240930
2634,漢翔            ,"1,109,000","794,306","314,694",0,0,0,0,"1,195,000","-1,195,000","64,874","97,000","13,000","84,000","10,000","29,126","-19,126","-815,432",20240930
3706,神達            ,"359,050","1,233,000","-873,950",0,0,0,0,0,0,"-103,722","32,000","39,144","-7,144","5,000","101,578","-96,578","-977,672",20240930
2363,矽統            ,"8,657,030","10,608,000","-1,950,970",0,0,0,"2,000",0,"2,000","460,328","56,457","42,428","14,029","569,299","123,000","446,299","-1,488,642",20240930
2408,南亞科          ,"6,140,915","7,270,615","-1,129,700",0,0,0,"7,000","17,351","-10,351","-436,409","146,000","409,000","-263,000","36,000","209,409","-173,409","-1,576,460",20240930
2610,華航            ,"5,216,100","5,883,085","-666,985",0,0,0,0,"656,851","-656,851","-512,104","82,000","260,000","-178,000","129,910","464,014","-334,104","-1,835,940",20240930
3017,奇鋐            ,"2,517,248","4,058,840","-1,541,592",0,0,0,"45,000","198,000","-153,000","-273,717","67,000","287,341","-220,341","125,025","178,401","-53,376","-1,968,309",20240930
2344,華邦電          ,"10,860,500","12,598,599","-1,738,099",0,0,0,"14,000","18,668","-4,668","-389,545","44,000","301,881","-257,881","59,000","190,664","-131,664","-2,132,312",20240930
6770,力積電          ,"4,392,000","6,052,553","-1,660,553",0,0,0,0,"17,000","-17,000","-490,998","39,000","47,000","-8,000","7,000","489,998","-482,998","-2,168,551",20240930
2303,聯電            ,"25,882,451","24,683,574","1,198,877",0,0,0,"659,428","5,512,802","-4,853,374","1,068,375","200,000","196,000","4,000","1,791,375","727,000","1,064,375","-2,586,122",20240930
3231,緯創            ,"3,527,400","6,372,728","-2,845,328",0,0,0,"108,000","5,620","102,380","-304,000","33,000","303,000","-270,000","191,000","225,000","-34,000","-3,046,948",20240930
2356,英業達          ,"9,960,121","14,655,961","-4,695,840",0,0,0,"188,000","23,000","165,000","463,643","197,000","76,952","120,048","441,837","98,242","343,595","-4,067,197",20240930
2605,新興            ,"11,585,000","16,539,583","-4,954,583",0,0,0,0,0,0,"474,336","637,000","331,006","305,994","437,581","269,239","168,342","-4,480,247",20240930
2603,長榮            ,"10,666,470","14,996,867","-4,330,397",0,0,0,"253,000","395,678","-142,678","-465,109","387,000","506,000","-119,000","408,987","755,096","-346,109","-4,938,184",20240930
2353,宏碁            ,"6,817,077","12,866,733","-6,049,656",0,0,0,0,"241,629","-241,629","21,991","61,000","283,529","-222,529","330,000","85,480","244,520","-6,269,294",20240930
3711,日月光投控      ,"7,222,249","14,294,351","-7,072,102",0,0,0,"355,123","682,896","-327,773","7,793","169,000","284,999","-115,999","207,000","83,208","123,792","-7,392,082",20240930
2382,廣達            ,"15,128,486","23,048,344","-7,919,858",0,0,0,"274,000","11,037","262,963","-307,960","424,680","866,640","-441,960","240,000","106,000","134,000","-7,964,855",20240930
2615,萬海            ,"20,274,859","26,631,296","-6,356,437",0,0,0,0,"428,344","-428,344","-1,317,549","402,000","1,092,638","-690,638","237,135","864,046","-626,911","-8,102,330",20240930
2449,京元電子        ,"3,807,438","12,198,276","-8,390,838",0,0,0,"48,000","7,076","40,924","-546,202","175,730","454,914","-279,184","226,866","493,884","-267,018","-8,896,116",20240930
2609,陽明            ,"20,857,102","33,216,662","-12,359,560",0,0,0,"647,000","653,842","-6,842","-2,705,803","1,355,000","2,352,542","-997,542","317,295","2,025,556","-1,708,261","-15,072,205",20240930
2330,台積電          ,"23,793,433","44,066,713","-20,273,280",0,0,0,"100,000","191,400","-91,400","-45,320","712,068","334,194","377,874","626,600","1,049,794","-423,194","-20,410,000",20240930
2888,新光金          ,"39,777,485","25,853,367","13,924,118",0,0,0,0,"284,000","-284,000","977,000","376,000",0,"376,000","748,000","147,000","601,000","14,617,118",20240927
2609,陽明            ,"35,569,255","21,861,392","13,707,863",0,0,0,"41,000",0,"41,000","454,623","2,045,994","1,681,001","364,993","1,116,630","1,027,000","89,630","14,203,486",20240927
2303,聯電            ,"24,570,500","15,216,314","9,354,186",0,0,0,"8,898,073","4,524,043","4,374,030","-303,185","360,834","368,517","-7,683","64,498","360,000","-295,502","13,425,031",20240927
6770,力積電          ,"19,070,999","6,148,000","12,922,999",0,0,0,0,"188,000","-188,000","677,678","147,520","106,001","41,519","651,159","15,000","636,159","13,412,677",20240927
2409,友達            ,"26,715,240","13,690,436","13,024,804",0,0,0,"6,000","32,811","-26,811","129,315","730,000","731,001","-1,001","192,316","62,000","130,316","13,127,308",20240927
2615,萬海            ,"25,702,155","14,895,774","10,806,381",0,0,0,0,"2,403","-2,403","306,218","913,000","582,000","331,000","725,217","749,999","-24,782","11,110,196",20240927
2344,華邦電          ,"18,596,670","7,706,000","10,890,670",0,0,0,"10,000","2,668","7,332","-102,449","100,000","237,361","-137,361","91,912","57,000","34,912","10,795,553",20240927
2603,長榮            ,"16,887,689","8,129,296","8,758,393",0,0,0,"89,000","166,000","-77,000","85,148","292,995","141,232","151,763","605,049","671,664","-66,615","8,766,541",20240927
2618,長榮航          ,"15,580,400","10,816,290","4,764,110",0,0,0,"1,574,000","704,219","869,781","1,039,306","466,306","260,000","206,306","1,047,000","214,000","833,000","6,673,197",20240927
2610,華航            ,"13,710,872","7,202,583","6,508,289",0,0,0,"104,000","782,245","-678,245","-54,571","271,000","103,001","167,999","146,430","369,000","-222,570","5,775,473",20240927
2606,裕民            ,"7,088,280","3,175,200","3,913,080",0,0,0,"74,455","57,000","17,455","1,559,672","1,004,553","85,000","919,553","730,119","90,000","640,119","5,490,207",20240927
3231,緯創            ,"10,579,352","6,017,644","4,561,708",0,0,0,"423,000","2,620","420,380","177,131","166,631","84,000","82,631","190,000","95,500","94,500","5,159,219",20240927
2637,慧洋-KY         ,"7,259,129","3,899,010","3,360,119",0,0,0,"1,160,000","49,000","1,111,000","332,477","53,001","17,000","36,001","621,476","325,000","296,476","4,803,596",20240927
2330,台積電          ,"22,002,881","17,893,681","4,109,200",0,0,0,"217,000","165,602","51,398","465,686","723,365","255,000","468,365","186,371","189,050","-2,679","4,626,284",20240927
3013,晟銘電          ,"13,252,000","9,052,100","4,199,900",0,0,0,"483,000","186,000","297,000","-120,121","81,621","88,742","-7,121","63,000","176,000","-113,000","4,376,779",20240927
2449,京元電子        ,"14,553,903","10,491,000","4,062,903",0,0,0,"578,000","1,865,076","-1,287,076","1,407,950","1,171,354","285,968","885,386","596,564","74,000","522,564","4,183,777",20240927
2323,中環            ,"7,943,000","4,230,000","3,713,000",0,0,0,0,0,0,"-178,181","301,000","112,000","189,000","193,819","561,000","-367,181","3,534,819",20240927
2882,國泰金          ,"23,249,966","19,284,634","3,965,332",0,0,0,"561,000","20,623","540,377","-1,376,703","810,249","1,208,952","-398,703","69,000","1,047,000","-978,000","3,129,006",20240927
2382,廣達            ,"15,064,799","15,499,574","-434,775",0,0,0,"1,872,000","161,940","1,710,060","1,046,075","1,219,245","198,138","1,021,107","134,000","109,032","24,968","2,321,360",20240927
2426,鼎元            ,"2,558,000","578,000","1,980,000",0,0,0,0,0,0,"5,131","6,358","1,227","5,131",0,0,0,"1,985,131",20240927
2867,三商壽          ,"5,036,000","2,769,000","2,267,000",0,0,0,0,"462,000","-462,000","102,000","169,000","33,000","136,000",0,"34,000","-34,000","1,907,000",20240927
3706,神達            ,"1,527,001","172,000","1,355,001",0,0,0,"8,000",0,"8,000","189,831","249,831","14,000","235,831","22,000","68,000","-46,000","1,552,832",20240927
2356,英業達          ,"6,576,400","5,404,000","1,172,400",0,0,0,"261,000","102,000","159,000","-1,337","146,000","250,559","-104,559","144,214","40,992","103,222","1,330,063",20240927
2885,元大金          ,"9,207,262","8,336,602","870,660",0,0,0,"360,220","15,000","345,220","49,993","67,000","55,007","11,993","58,000","20,000","38,000","1,265,873",20240927
2324,仁寶            ,"4,526,400","3,479,923","1,046,477",0,0,0,"22,899","14,415","8,484","40,000","93,000","106,000","-13,000","57,000","4,000","53,000","1,094,961",20240927
2374,佳能            ,"1,239,000","445,000","794,000",0,0,0,"1,000",0,"1,000","23,308","8,000",361,"7,639","15,669",0,"15,669","818,308",20240927
2880,華南金          ,"7,260,250","6,691,975","568,275",0,0,0,"26,000","26,000",0,"168,033","395,998","236,965","159,033","20,000","11,000","9,000","736,308",20240927
2301,光寶科          ,"5,758,900","1,646,270","4,112,630",0,0,0,"131,000","3,659,633","-3,528,633","77,860","77,000","39,243","37,757","48,000","7,897","40,103","661,857",20240927
5608,四維航          ,"3,178,000","2,707,227","470,773",0,0,0,0,0,0,"98,999","12,000","5,001","6,999","93,000","1,000","92,000","569,772",20240927
3017,奇鋐            ,"4,989,340","4,519,769","469,571",0,0,0,"114,000","33,000","81,000","-136,138","305,000","361,001","-56,001","126,969","207,106","-80,137","414,433",20240927
2634,漢翔            ,"1,342,000","211,000","1,131,000",0,0,0,0,"1,137,000","-1,137,000","418,751","427,000","7,001","419,999","13,000","14,248","-1,248","412,751",20240927
2834,臺企銀          ,"8,375,000","8,304,897","70,103",0,0,0,"8,000",0,"8,000","226,000","239,000","16,000","223,000","3,000",0,"3,000","304,103",20240927
2393,億光            ,"1,631,180","824,060","807,120",0,0,0,"13,879","711,000","-697,121","25,054","24,000","3,864","20,136","19,000","14,082","4,918","135,053",20240927
2884,玉山金          ,"11,949,699","9,226,824","2,722,875",0,0,0,"39,000","2,829,274","-2,790,274","173,188","342,999","64,443","278,556","48,998","154,366","-105,368","105,789",20240927
2438,翔耀            ,"55,000","13,000","42,000",0,0,0,0,0,0,"1,000","2,000","1,000","1,000",0,0,0,"43,000",20240927
2408,南亞科          ,"10,664,010","10,669,355","-5,345",0,0,0,0,"161,351","-161,351","186,681","279,000","169,341","109,659","152,000","74,978","77,022","19,985",20240927
2429,銘旺科          ,"109,000","52,000","57,000",0,0,0,0,0,0,"-38,000",0,"38,000","-38,000",0,0,0,"19,000",20240927
2466,冠西電          ,"12,000","3,000","9,000",0,0,0,0,0,0,"2,000","2,000",0,"2,000",0,0,0,"11,000",20240927
2349,錸德            ,"1,528,000","1,679,000","-151,000",0,0,0,0,0,0,"20,000","33,000","13,000","20,000",0,0,0,"-131,000",20240927
2406,國碩            ,"1,626,000","1,765,000","-139,000",0,0,0,0,0,0,"6,682","14,000","7,268","6,732",0,50,-50,"-132,318",20240927
4967,十銓            ,"243,000","839,000","-596,000",0,0,0,0,0,0,"-14,146",0,999,-999,"1,000","14,147","-13,147","-610,146",20240927
3450,聯鈞            ,"3,078,070","4,379,020","-1,300,950",0,0,0,"360,000","107,000","253,000","-16,151","166,439","326,776","-160,337","159,389","15,203","144,186","-1,064,101",20240927
2605,新興            ,"8,778,000","10,233,109","-1,455,109",0,0,0,0,0,0,"360,298","480,000","262,002","217,998","287,000","144,700","142,300","-1,094,811",20240927
2365,昆盈            ,"1,284,000","2,575,000","-1,291,000",0,0,0,0,0,0,779,"11,596","10,817",779,0,0,0,"-1,290,221",20240927
2353,宏碁            ,"11,899,063","9,160,280","2,738,783",0,0,0,0,"4,709,629","-4,709,629","366,346","337,000","21,655","315,345","75,000","23,999","51,001","-1,604,500",20240927
2363,矽統            ,"8,186,000","12,464,000","-4,278,000",0,0,0,0,0,0,"114,333","39,422","38,299","1,123","259,007","145,797","113,210","-4,163,667",20240927
3711,日月光投控      ,"8,225,016","20,890,871","-12,665,855",0,0,0,"8,069,307","436,610","7,632,697","29,205","196,195","194,001","2,194","89,291","62,280","27,011","-5,003,953",20240927
2890,永豐金          ,"8,445,100","13,914,276","-5,469,176",0,0,0,"383,000","202,845","180,155","256,426","630,000","428,574","201,426","70,000","15,000","55,000","-5,032,595",20240927
2883,開發金          ,"20,108,500","30,663,932","-10,555,432",0,0,0,"573,000","252,535","320,465","-216,241","279,000","500,241","-221,241","446,000","441,000","5,000","-10,451,208",20240927
2891,中信金          ,"33,538,893","55,257,772","-21,718,879",0,0,0,"1,007,000","48,805","958,195","-177,202","485,000","64,720","420,280","179,000","776,482","-597,482","-20,937,886",20240927
2888,新光金          ,"75,040,235","29,015,506","46,024,729",0,0,0,0,0,0,"5,974,000","3,166,000","158,000","3,008,000","3,183,000","217,000","2,966,000","51,998,729",20240926
2609,陽明            ,"66,291,139","42,441,244","23,849,895",0,0,0,"3,480,000","3,275","3,476,725","-232,886","2,306,540","3,543,914","-1,237,374","2,816,874","1,812,386","1,004,488","27,093,734",20240926
2615,萬海            ,"48,169,671","24,221,125","23,948,546",0,0,0,"1,304,000","1,977","1,302,023","-2,350,276","574,255","1,803,715","-1,229,460","535,169","1,655,985","-1,120,816","22,900,293",20240926
2882,國泰金          ,"34,044,564","13,467,829","20,576,735",0,0,0,"390,000","284,300","105,700","1,244,923","1,239,567","304,000","935,567","653,356","344,000","309,356","21,927,358",20240926
2330,台積電          ,"27,340,721","14,913,380","12,427,341",0,0,0,"241,000","127,815","113,185","2,020,363","1,454,578","130,001","1,324,577","955,335","259,549","695,786","14,560,889",20240926
2409,友達            ,"48,850,370","35,823,700","13,026,670",0,0,0,"35,000","2,000","33,000","1,491,211","1,822,000","588,000","1,234,000","342,211","85,000","257,211","14,550,881",20240926
2303,聯電            ,"23,011,428","20,328,914","2,682,514",0,0,0,"15,675,000","4,804,044","10,870,956","606,611","565,611","301,000","264,611","784,000","442,000","342,000","14,160,081",20240926
2603,長榮            ,"24,255,457","11,277,818","12,977,639",0,0,0,"1,412,000","99,889","1,312,111","-1,625,585","580,000","2,026,000","-1,446,000","592,513","772,098","-179,585","12,664,165",20240926
2618,長榮航          ,"23,149,051","12,083,778","11,065,273",0,0,0,"755,000","515,688","239,312","-772,000","291,000","784,000","-493,000","368,000","647,000","-279,000","10,532,585",20240926
2883,開發金          ,"32,516,175","23,148,336","9,367,839",0,0,0,"349,000",0,"349,000","396,000","572,000","89,000","483,000","166,000","253,000","-87,000","10,112,839",20240926
2610,華航            ,"13,278,437","5,315,234","7,963,203",0,0,0,"10,000","94,513","-84,513","206,387","345,025","140,000","205,025","206,883","205,521","1,362","8,085,077",20240926
